ls_states,ground_truth,observed_nb
"[133, 54]",59,19
"[134, 130, 127, 372, 119, 114, 117, 377]",21,8
"[134, 130, 127, 372, 119, 114, 116, 379, 348, 471, 259]",9,0
"[134, 130, 127, 372, 119, 114, 116, 379, 348, 471, 258, 479, 486, 488, 321, 497]",2,0
"[134, 130, 127, 372, 119, 114, 116, 379, 347, 59, 68, 255, 488, 321, 497]",5,1
"[134, 130, 127, 372, 119, 114, 117, 376, 226, 28, 239, 42, 10, 363, 361, 281, 357, 21, 424]",4,1
"[134, 130, 127, 372, 119, 114, 117, 376, 226, 28, 240, 341, 362, 11, 41, 358, 370, 14, 493, 321, 497]",1,0
"[133, 52, 199, 193, 194, 196, 217, 305, 227, 353, 207, 222, 226, 28, 239, 42, 10, 363, 361, 281, 357, 21, 424]",1,0
"[134, 130, 127, 372, 119, 114, 117, 376, 226, 28, 240, 341, 363, 361, 281, 357, 21, 424]",4,4
"[134, 130, 127, 372, 119, 115, 405, 96, 75, 100, 337, 70, 316, 296, 328, 419]",2,1
"[134, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 168, 467, 166]",3,1
"[134, 130, 127, 372, 119, 115, 405, 96, 76, 339, 93, 450, 89, 29, 445, 441, 402, 90, 91, 435, 381, 154, 422]",8,2
"[134, 130, 127, 372, 119, 115, 405, 96, 76, 339, 92, 103, 452, 143, 149, 158, 155, 154, 422]",4,2
"[134, 130, 127, 372, 119, 115, 405, 96, 75, 100, 337, 73]",15,2
"[134, 130, 127, 372, 119, 115, 405, 96, 76, 339, 92, 103, 453, 160, 454, 73]",2,3
"[134, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 4, 275, 271, 267]",3,1
"[134, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 169, 468, 407, 31, 35, 302]",5,1
"[134, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 277, 411, 267]",3,2
"[134, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 314, 302]",13,1
"[134, 130, 127, 373]",171,42
"[134, 130, 127, 372, 119, 114, 116, 379, 348, 471, 258, 479, 487]",15,6
"[134, 130, 127, 372, 119, 114, 116, 379, 347, 59, 68, 255, 491]",3,1
